customer_id,first,last,city,state,member
1402523,James,Chu,Chicago,Illinois,FALSE
1402524,Charles,Martinez,Indianapolis,Indiana,FALSE
1402525,Gabriel,Williams,Bronx,New York,FALSE
1402526,Samuel,Anderson,Ottawa,Ontario,FALSE
1402527,Elias,Bailey,Las Vegas,Nevada,FALSE
1402528,Jayden,Smith,Oklahoma City,Oklahoma,FALSE
1402529,Samuel,Ward,New York City,New York,TRUE
1402530,Hudson,Ward,Las Vegas,Nevada,TRUE
1402531,Charles,Torres,Guadalajara,Jalisco,FALSE
1402532,Logan,Hill,Manhattan,New York,TRUE
1402533,Michael,Brown,Nashville,Tennesee,FALSE
1402534,Josiah,Allen,Seattle,Washington,FALSE
1402535,Charles,Nguyen,Denver,Colorado,FALSE
1402536,Logan,Jackson,Columbus,Ohio,FALSE
1402537,Benjamin,Green,Queens,New York,TRUE
1402538,Luca,Anderson,Columbus,Ohio,FALSE
1402539,David,Rodriguez,Nashville,Tennesee,FALSE
1402540,Samuel,Adams,Fort Worth,Texas,FALSE
1402541,Jennifer,Adams,Seattle,Washington,FALSE
1402542,Cynthia,Tremblay,Vancouver,British Columbia,FALSE
1402543,Christine,Jackson,Oklahoma City,Oklahoma,FALSE
1402544,Patricia,Rivera,Guadalajara,Jalisco,FALSE
1402545,Margaret,Liao,El Paso,Texas,TRUE
1402546,Amy,Adams,Los Angeles,California,FALSE
1402547,Patricia,Wu,Charlotte,North Carolina,FALSE
1402548,Linda,Brown,Ottawa,Ontario,FALSE
1402549,Amanda,Lewis,Charlotte,North Carolina,TRUE
1402550,Nancy,Davis,Queens,New York,TRUE
1402551,Janet,Agarwal,Bangalore,Karnataka,TRUE
1402552,Luke,Campbell,Denver,Colorado,FALSE
1402553,Christopher,Nakamura,Tokyo,Kantō,TRUE
1402554,Logan,Lee,Queens,New York,TRUE
1402555,Alexander,Ward,Charlotte,North Carolina,TRUE
1402556,Carter,Zhao,Los Angeles,California,FALSE
1402557,Thomas,Harris,Las Vegas,Nevada,TRUE
1402558,Thomas,Campbell,Calgary,Alberta,TRUE
1402559,Richard,Davis,San Antonio,Texas,FALSE
1402560,Elias,Murphy,Seattle,Washington,TRUE
1402561,Henry,Girard,Ottawa,Ontario,FALSE
1402562,Gabriel,Nakamura,Osaka,Kansai,TRUE
1402563,Matthew,Ramirez,Mexico City,Mexico City,TRUE
1402564,John,Gomez,Las Vegas,Nevada,FALSE
1402565,Robert,Gupta,Bangalore,Karnataka,TRUE
1402566,Isaac,Campbell,Vancouver,British Columbia,FALSE
1402567,Carter,Thomas,San Diego,California,FALSE
1402568,Luke,Zhao,El Paso,Texas,TRUE
1402569,William,Gonzales,León,Guanajuato,FALSE
1402570,Joseph,Moore,San Diego,California,FALSE
1402571,Owen,Perez,León,Guanajuato,FALSE
